"","X.1","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"717",717,23281,1353270312,"60981MC","NY","COM","07/04/2013",16,"VAN","CHEVR","P",34290,10065,11110,"0",10,10,420,938251,"0420","0000","0523P","","NY","F","540","WEST 26 STREET","","0",408,"D1",NA,"YYYYYBB","0800A","0600P","WHITE",0,2012,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718",718,7087346,7453890550,"FHY4217","NY","PAS","04/26/2014",37,"4DSD","GEO","T",65390,0,0,"20150407",103,103,103,355669,"T402","D","0518P","0422P","Q","I","W","Union Hall St","20ft N/of Archer Ave","0",408,"h1",NA,"Y","0900A","0700P","BLUE",NA,1996,"403-3047",0,"10 4","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719",719,2344574,7485907372,"AWV5975","NY","PAS","10/10/2013",21,"4DSD","TOYOT","T",46430,40404,40404,"20131121",107,107,107,340127,"T402","L","0923A","","Q","O","14460","Garrett St","","0",408,"d1",NA,"Y","0830A","1000A","GREY",NA,2004,"",0,"F -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",720,7667442,7911109709,"XT901Y","NJ","PAS","05/21/2014",42,"VAN","CHEVR","T",10510,34310,34330,"88880088",13,13,13,359565,"T102","L","0505P","","NY","F","805","6th Ave","","0",408,"h1",NA,"Y","0700A","0700P","WHITE",NA,0,"144-3653",0,"23 6","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722",722,7058809,7324748521,"BR608T","NY","PAS","04/24/2014",38,"SUBN","ISUZU","T",59590,61090,9440,"20151219",109,109,109,359298,"T401","P","0209P","","Q","F","40-09","Prince St","","0",408,"h1",NA,"Y","0730A","1000P","BLACK",NA,1999,"",0,"02 4","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",723,4412692,7574591581,"8790","MA","PAS","12/28/2013",38,"4DSD","TOYOT","T",11710,35370,35390,"20130088",20,20,20,359292,"T103","R","0401P","","NY","F","428","Amsterdam Ave","","0",408,"h1",NA,"Y","0900A","0700P","SILVER",NA,0,"",0,"30 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724",724,8095053,7833117456,"98171MD","NY","COM","05/05/2014",42,"VAN","CHEVR","T",27800,17470,17490,"20150930",14,14,14,359618,"T102","K","0155P","","NY","O","333","Park Ave South","","0",408,"h1",NA,"YYYYY","0700A","0700P","BLUE",NA,2013,"143-3766",0,"22 6","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",725,7001823,7126316707,"FWP7334","NY","PAS","04/24/2014",70,"4DSD","HONDA","T",14890,28990,59990,"20140423",112,112,112,352056,"T401","C","1218P","","Q","F","107-15","71st Ave","","0",408,"j3",NA,"YYYYYYY","","","GREY",NA,2012,"",0,"57-A","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726",726,1890229,7719518354,"41505JJ","NY","COM","10/24/2013",37,"VAN","CHEVR","T",25390,18270,18290,"20140430",19,19,19,358576,"T103","R","0350P","0344P","NY","F","740","Madison Ave","","20131024",408,"h1",NA,"Y","1000A","0400P","GREY",NA,2005,"118-4558",0,"07 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727",727,3083490,7000140033,"FWE7810","NY","PAS","11/13/2013",14,"SUBN","TOYOT","T",39010,0,0,"20140717",110,110,110,356236,"T401","L","0706A","","Q","I","N","Christie Ave","80ft W/of 99th St","0",408,"c",NA,"YYYYYYY","0700A","0400P","WHITE",NA,2009,"",0,"O -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",728,5235624,7753451492,"FWF2793","NY","PAS","01/29/2014",38,"4DSD","BMW","T",25590,56890,78820,"88888888",43,43,43,358898,"T202","A","0919A","","BX","O","1440","East Ave","","0",408,"h1",NA,"Y","0900A","0700P","WHITE",NA,0,"",0,"04A","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730",730,4810985,7660552491,"23875MA","NY","COM","01/17/2014",74,"PICK","FORD","T",34550,10410,10510,"20140630",14,14,14,357689,"T800","B2","1008P","","NY","F","55","W 39th St","","0",408,"j2",NA,"","","","WHITE",NA,2006,"",0,"G -","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732",732,6687502,7664997525,"GAD5693","NY","PAS","03/31/2014",40,"SUBN","CHEVR","T",18820,10110,10010,"20140820",19,19,19,355156,"T103","A","0537A","","NY","O","300","E 92nd St","","0",408,"e2",NA,"YYYYYYY","","","BLACK",NA,2012,"",5,"CC1","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733",733,5728531,7204724379,"R37BJX","NJ","PAS","03/20/2014",37,"4DSD","HYUND","T",50050,53980,24465,"88888888",63,63,63,358949,"T302","P","0402P","0351P","K","F","33","Hillel Pl","","0",408,"h1",NA,"Y","0900A","0700P","SILVER",NA,0,"304-3061",0,"16 3","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734",734,7201936,7783918062,"63065ME","NY","COM","04/18/2014",85,"VAN","ISUZU","T",10040,5640,5690,"20151231",108,108,108,355558,"T401","M","0940A","0627A","Q","F","10-01","44th Rd","","0",408,"k5",NA,"","","","WHITE",NA,2011,"",0,"R 41","85-Storage-3 hour Commercial",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735",735,5537737,7891104542,"236LJW","FL","PAS","02/21/2014",31,"4DSD","LINCO","T",34490,10610,10810,"20140488",14,14,14,357779,"T106","M","1248P","","NY","F","229","W 36th St","","0",408,"l3",NA,"YYYYY","0600A","0700P","BLACK",NA,0,"",0,"99 6","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736",736,7881822,7122774491,"FCR2850","NY","OMS","05/03/2014",38,"4DSD","BUICK","T",15790,35780,8890,"20140930",115,115,115,359318,"T401","A","0828A","","Q","F","37-09","75th St","","0",408,"h1",NA,"Y","0800A","0700P","WHITE",NA,2014,"",0,"51-A","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737",737,7663854,7960617211,"R14BVL","NJ","PAS","05/14/2014",38,"4DSD","BMW","T",40600,49937,23840,"88888888",122,122,122,359602,"T303","E","0540P","","R","F","1365","N Railroad Ave","","0",408,"h1",NA,"Y","0900A","0700P","BLACK",NA,0,"",0,"03-P","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738",738,7042722,7351586974,"FSX8423","NY","PAS","04/08/2014",37,"SUBN","NISSA","T",13610,35870,35890,"20160101",24,24,24,358929,"T103","R","0141P","0132P","NY","F","2745","Broadway","","0",408,"h1",NA,"Y","0830A","1000P","BLACK",NA,2013,"121-8169",0,"49 7","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739",739,2154390,7041680848,"FPL5005","NY","PAS","10/21/2013",21,"4DSD","HONDA","T",33820,79050,62620,"20150714",45,45,45,358563,"T202","B","1009A","","BX","F","2408","Frisby Ave","","0",408,"d1",NA,"Y  Y","0930A","1100A","BLUE",NA,2009,"",0,"09A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740",740,6726301,7762393705,"T617332C","NY","OMT","04/14/2014",21,"4DSD","TOYOT","T",23140,17690,49690,"20141031",103,103,103,356551,"T402","A","0927A","","Q","F","87-42","148th St","","0",408,"d1",NA,"Y","0830A","1000A","BLACK",NA,2014,"",0,"02 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741",741,1997631,7954155298,"GCG1157","NY","PAS","10/10/2013",37,"SUBN","FORD","T",42730,39930,70630,"20140916",75,75,75,357081,"T301","E","0304P","0229P","K","F","3293","Fulton St","","0",408,"h1",NA,"Y","0800A","0700P","BLACK",NA,0,"358-3018",0,"W -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742",742,8780237,7104756670,"FUF7007","OH","PAS","06/16/2014",14,"4DSD","HYUND","T",0,0,0,"20140888",70,70,70,333042,"T302","M","0822A","","K","I","E","Ocean Pky","400ft N/of Ditmas Av","0",408,"c",NA,"YYYYYYY","","","BLUE",NA,0,"",0,"R 32","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744",744,684599,7611125060,"CGDHS","NY","ORG","08/13/2013",40,"4DSD","CADIL","T",36230,0,0,"20150320",70,70,70,331845,"T302","Y","0617A","","K","I","W","E 32nd St","20ft S/of Avenue J","0",408,"e2",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"R -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745",745,1571778,7895112790,"24831MD","NY","COM","09/04/2013",14,"VAN","WORK","T",18070,0,0,"20150331",18,18,18,357711,"T106","G","0216P","","NY","I","S","E 54th St","15ft E/of Park Ave","0",408,"c",NA,"YYYYY","0700A","0600P","WHITE",NA,2005,"",0,"63 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746",746,8775783,7122782049,"FRX2116","NY","PAS","06/18/2014",74,"SUBN","ISUZU","T",10540,12140,47290,"20151010",104,104,104,331777,"T401","N","0155P","","Q","F","57-57","47th St","","0",408,"j2",NA,"","","","BLUE",NA,1988,"",0,"K 41","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747",747,1036535,7522316923,"XN834J","NJ","PAS","09/20/2013",14,"DELV","INFIN","T",40930,80430,72730,"88880088",77,77,77,358183,"T301","A","0934A","","K","F","297","Flatbush Ave","","0",408,"c",NA,"YYYYY","0700A","1000A","WHITE",NA,0,"",0,"19 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748",748,2819371,7502956451,"62638JZ","NY","COM","11/16/2013",46,"REFG","ISUZU","T",89730,68930,31830,"20131231",77,77,77,357341,"T301","E","0222P","1200P","K","F","593","Washington Ave","","20131116",408,"F1",NA,"","","","WHITE",NA,2013,"",0,"19 -","46B-Double Parking (Com-100Ft)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749",749,3495823,1361650205,"M84CVC","NJ","PAS","11/26/2013",46,"SUBN","JEEP","P",73050,83330,55530,"0",781,781,81,945628,"0081","0000","1238P","","K","F","553","QUINCY ST","","0",408,"F1",NA,"BBBBBBB","ALL","ALL","ORANGE",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750",750,1072601,7659309742,"GJK5044","NY","PAS","08/31/2013",71,"4DSD","HONDA","T",18430,27790,24890,"20150818",19,19,19,355672,"T103","Q","0936A","","NY","F","130","E 72nd St","","0",408,"j6",NA,"","","","BLUE",NA,0,"",0,"C -","71-Insp. Sticker Missing (NYS",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751",751,5536175,7891101863,"FZR1289","NY","PAS","02/04/2014",31,"SUBN","ME/BE","T",34830,0,0,"20140630",18,18,18,357779,"T106","M","0316P","","NY","I","N","W 53rd St","100ft W/of 5th Ave","0",408,"l3",NA,"YYYYY","0700A","0600P","GREY",NA,2012,"",0,"99 -","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"752",752,53011,1360759669,"RSL10","CT","PAS","08/13/2013",19,"SDN","VOLVO","P",29690,36070,36090,"0",26,26,26,925689,"0026","0000","0925A","","NY","O","435","RIVERSIDE DRIVE","","0",408,"F1",NA,"YBBBBBB","ALL","ALL","BLACK",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"753",753,672636,7567539639,"EMK4865","NY","PAS","08/20/2013",21,"SUBN","HONDA","T",35680,32920,64420,"20140926",47,47,47,350435,"T202","O","1159A","","BX","F","1380","Givan Ave","","0",408,"d1",NA,"Y","1130A","0100P","BLACK",NA,2004,"",0,"B -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"754",754,5468155,7466732010,"FSX3028","NY","PAS","02/12/2014",46,"4DSD","NISSA","T",15840,0,0,"20151101",105,105,105,356178,"T402","L","0401P","","Q","I","N","76th Ave","40ft W/of 271st St","0",408,"f1",NA,"","","","BLACK",NA,2012,"",0,"J -","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"755",755,2975257,7997198040,"36905JS","NY","COM","11/05/2013",19,"VAN","GMC","T",13820,0,0,"20140228",42,42,42,352093,"T201","N","0735A","","BX","I","E","Boston Rd","5ft N/of E 173rd St","0",408,"c3",NA,"YYYYYYY","","","RED",NA,2008,"",0,"N -","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"756",756,4464310,7789571588,"GMD7473","NY","PAS","12/28/2013",21,"SUBN","LINCO","T",13430,80230,45030,"20140206",77,77,77,353041,"T802","A","0153A","","K","F","954","Atlantic Ave","","0",408,"d1",NA,"Y Y Y","1200A","0300A","WHITE",NA,0,"",0,"R -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"757",757,4003902,7210694950,"CXL5913","NY","PAS","12/06/2013",38,"4DSD","NISSA","T",53790,22040,22120,"20140712",106,106,106,358612,"T402","D","0127P","","Q","F","132-17","Liberty Ave","","0",408,"h1",NA,"Y","0900A","0700P","SILVER",NA,1996,"",0,"26 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"758",758,599959,7241857550,"DPV3383","NY","OMS","08/12/2013",38,"SUBN","DODGE","T",24090,18140,51090,"20130930",103,103,103,355599,"T402","H","0939A","","Q","F","9002","161st St","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,2012,"",0,"04 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"759",759,8176040,7989010320,"BAK7928","NY","PAS","05/21/2014",38,"4DSD","MITSU","T",11710,35130,35150,"20151030",20,20,20,355113,"T103","O","0927A","","NY","F","181","Amsterdam Ave","","0",408,"h1",NA,"Y","0900A","0700P","BLACK",NA,2009,"",0,"36 7","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"760",760,6706771,7712380004,"53697JR","NY","COM","04/16/2014",40,"VAN","NS/OT","T",10110,19190,19210,"88888888",23,23,23,333163,"T503","B1","0251A","","NY","F","2176","2nd Ave","","0",408,"e2",NA,"YYYYYYY","","","SILVER",NA,0,"",0,"23 7","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"761",761,3013673,7999147746,"5XSB468","CA","PAS","11/26/2013",21,"4DSD","TOYOT","T",18450,25390,27790,"20140788",19,19,19,356300,"T103","G","0912A","","NY","O","73","E 73rd St","","0",408,"d1",NA,"Y  Y","0900A","1030A","BLUE",NA,0,"",0,"02 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"762",762,3292545,7564307780,"11671JY","NY","COM","11/24/2013",14,"VAN","CHEVR","T",31530,0,0,"88888888",88,88,88,357368,"T301","S","1137A","","K","I","S","Dekalb Ave","10ft E/of Flatbush A","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,2007,"",0,"06 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"763",763,6337749,7863109050,"85154JU","NY","COM","02/28/2014",14,"VAN","ISUZU","T",18070,10410,25390,"20150731",18,18,18,354154,"T106","M","0159P","","NY","O","19","E 54th St","","0",408,"c",NA,"YYYYY","0700A","0600P","WHITE",NA,1999,"",0,"99 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"764",764,4519528,7906753185,"84276MC","NY","COM","01/09/2014",69,"VAN","DODGE","T",34430,10510,10610,"20150430",14,14,14,355642,"T102","M","0822A","","NY","F","133","W 33rd St","","0",408,"h1",NA,"YYYYY","","","WHITE",NA,2013,"",0,"99 -","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"765",765,3454744,1253084210,"734YKF","CT","PAS","11/15/2013",17,"SDN","VOLKS","X",23040,18290,28265,"0",103,103,968,103617,"0968","0000","1154P","","Q","O","91-10","146TH ST","","0",408,"J6",NA,"BBBBBBB","ALL","ALL","SILVER",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"766",766,7904412,7178327455,"FFF6073","NY","PAS","05/16/2014",21,"4DSD","VOLKS","T",8590,7300,7640,"20140930",114,114,114,355272,"T401","L","1155A","","Q","F","25-15","35th Ave","","0",408,"d1",NA,"Y","1130A","0100P","GREY",NA,2004,"",0,"I 41","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"767",767,1988576,7964797104,"P62612","MA","COM","10/25/2013",47,"VAN","FORD","T",17290,27110,10010,"20131288",9,9,9,350423,"T105","E","0149P","","NY","O","328","E 15th St","","0",408,"l2",NA,"Y","0700A","0700P","WHITE",NA,0,"",0,"101","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"768",768,5733376,7241502851,"GGP1641","NY","PAS","03/05/2014",70,"PICK","FORD","T",9830,5780,5880,"20130628",72,72,72,356311,"T302","J","0247P","","K","F","745","65th St","","0",408,"j3",NA,"YYYYYYY","","","GREY",NA,2013,"",0,"P 32","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"769",769,8199411,1323299968,"34288JU","NY","COM","05/15/2014",20,"VAN","DODGE","P",16150,23130,21690,"20160228",5,5,5,950075,"0005","0000","0932A","","NY","F","3","CROSBY STREET","","0",408,"D",NA,"YYYYYBB","0800A","0600P","BLUE",0,2008,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"770",770,1400589,7306354840,"FSA8203","NY","PAS","09/09/2013",37,"SUBN","TOYOT","T",24890,18270,18290,"20140129",20,20,20,358914,"T103","F","1238P","1230P","NY","F","857","Lexington Ave","","20130909",408,"h1",NA,"YYYYY","1000A","1000P","GREY",NA,2006,"119-4824",0,"56 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"771",771,2793691,7384214154,"L51DPE","NJ","PAS","11/26/2013",20,"4DSD","HONDA","T",69020,26490,26550,"88888888",42,42,42,354050,"T201","M","0709A","","BX","O","905","Tinton Ave","","0",408,"d",NA,"YYYYYYY","0700A","0400P","SILVER",NA,0,"",0,"L -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"772",772,2464925,7793360679,"29515MD","NY","COM","10/01/2013",21,"VAN","FORD","T",34010,10510,10610,"20150331",6,6,6,352069,"T101","A","0916A","","NY","F","130","W 12th St","","0",408,"d1",NA,"Y  Y","0900A","1030A","WHITE",NA,2013,"",0,"49 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"774",774,5833029,7662147927,"54736MC","NY","COM","03/17/2014",16,"VAN","FORD","T",18730,24890,10210,"20140930",19,19,19,355209,"T103","F","0411P","0331P","NY","O","170","E 87th St","","20140317",408,"k2",NA,"YYYYY","0800A","0600P","WHITE",NA,2007,"",0,"CC1","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"775",775,6584798,7232353856,"33001MA","NY","COM","04/20/2014",40,"VAN","CHEVR","T",10880,5280,5430,"20141130",68,68,68,357093,"T302","R","1245P","","K","O","334","86th St","","0",408,"e2",NA,"YYYYYYY","","","WHITE",NA,2010,"",0,"21 3","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"776",776,9014377,7897981654,"95260JV","NY","COM","06/06/2014",14,"VAN","FRUEH","T",34450,16920,97480,"88888888",10,10,10,355472,"T106","I","1242P","","NY","F","433","W 34th St","","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,2002,"",0,"99 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"777",777,1898165,7730225773,"JFC1705","PA","PAS","10/05/2013",38,"4DSD","NISSA","T",23230,40330,38830,"20131188",90,90,90,358621,"T301","E","0252P","","K","F","810","Broadway","","0",408,"h1",NA,"Y","0900A","0700P","GREY",NA,0,"",0,"15 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"778",778,6960561,7069079280,"BKW8051","NY","PAS","04/14/2014",16,"4DSD","LEXUS","T",36670,10810,13510,"20160424",32,32,32,354084,"T103","L","0152P","","NY","O","300","W 145th St","","0",408,"k2",NA,"YYYYY","0700A","0400P","WHITE",NA,1998,"",0,"CC1","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"779",779,2825681,7581168359,"GFE8173","NY","PAS","10/31/2013",20,"SUBN","HYUND","T",0,0,0,"20150416",45,45,45,356190,"T202","Q","0457P","","BX","I","E","Co Op City Blvd","90ft S/of Baychester","0",408,"d",NA,"YYYYYYY","","","SILVER",NA,2009,"",0,"N -","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"781",781,4522701,7909987780,"T629806C","NY","OMT","01/16/2014",48,"SUBN","TOYOT","T",17790,27790,24890,"20141231",18,18,18,359330,"T102","X","0151P","","NY","O","101","E 40th St","","0",408,"e9",NA,"","","","BLACK",NA,2013,"",0,"99 -","48-Bike Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"782",782,8071547,7774762383,"FJZ2480","NY","PAS","05/09/2014",21,"SUBN","ACURA","T",27810,65720,29450,"20150425",52,52,52,354094,"T201","N","1200P","","BX","F","190","E 206th St","","0",408,"d1",NA,"Y  Y","1130A","0100P","GREY",NA,2011,"",0,"A 21","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"783",783,496072,7018510340,"FTG7953","NY","PAS","08/17/2013",21,"2DSD","FORD","T",16420,40020,42520,"20140125",45,45,45,357686,"T202","Q","0740A","","BX","F","3042","Buhre Ave","","0",408,"d1",NA,"Y","0730A","0800A","RED",NA,2004,"",0,"D -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"784",784,9044359,7969486812,"FXP4780","NY","PAS","06/23/2014",72,"SUBN","CHEVR","T",78050,52220,61220,"20160319",49,49,49,358654,"T202","E","0156P","","BX","F","1842","Williamsbridge Rd","","0",408,"j7",NA,"","","","GREY",NA,2012,"",0,"02A","72-Insp Stkr Mutilated",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"785",785,9003521,7867575534,"73758MD","NY","COM","06/20/2014",14,"VAN","FRUEH","T",34310,10510,10610,"20160228",13,13,13,361133,"T102","L","0220P","","NY","F","145","W 27th St","","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,2014,"",0,"16 6","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"786",786,8877714,7603249648,"FPR8963","NY","PAS","06/25/2014",38,"SUBN","BMW","T",34050,10410,10510,"20150921",6,6,6,350423,"T105","C","0829P","","NY","F","55","W 14th St","","0",408,"h1",NA,"Y","0900A","1000P","BLACK",NA,2012,"",0,"101","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"787",787,4193997,1359072779,"8587WK","FL","PAS","01/05/2014",20,"SDN","VOLKS","P",18040,17740,17990,"0",102,102,102,940279,"0102","0000","0000A","","Q","O","87-05","89 AVE","","0",408,"E2",NA,"YYYYYYY","0  :","0  :","RED",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"788",788,271614,7662109525,"56368JX","NY","COM","08/15/2013",16,"VAN","FORD","T",18730,10210,10110,"20141231",19,19,19,355209,"T103","F","1024A","0946A","NY","O","235","E 87th St","","0",408,"k2",NA,"Y","0700A","0700P","WHITE",NA,2008,"",0,"56 -","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"789",789,8947872,7712388970,"30276MD","NY","COM","06/17/2014",47,"UTIL","FORD","T",10410,10410,25390,"20150331",17,17,17,330692,"T503","B1","1041A","","NY","F","545","5th Ave","","0",408,"l2",NA,"YYYYY","0706A","0700P","RED",NA,1995,"",0,"07 7","47-Double PKG-Midtown",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"790",790,3051947,1362701798,"AP6111","99","PAS","10/23/2013",48,"TRLR","FRUEH","P",75530,51030,20530,"20131088",84,84,84,948135,"0084","0000","0138P","","K","F","200","SCHERMERHORN ST","","0",408,"E1",NA,"BBBBBBB","ALL","ALL","WHITE",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"791",791,6876351,1367842487,"ECB4766","NY","PAS","04/11/2014",21,"SUBN","HONDA","X",9530,56440,6780,"20150819",66,66,0,510935,"BK12","0000","1042A","","NY","F","1638","59 ST","","0",408,"D1",NA,"BBBBYBB","0930A","1100A","GREY",0,2013,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"792",792,8563895,7992642090,"N65CCB","NJ","PAS","06/13/2014",38,"SUBN","KIA","T",18710,24890,10210,"88888888",19,19,19,358643,"T103","P","0223P","","NY","F","186","E 86th St","","0",408,"h1",NA,"Y","0830A","1000P","BLACK",NA,0,"",0,"14 7","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"793",793,6266422,7658967026,"FJE9715","QB","PAS","03/24/2014",21,"4DSD","VOLKS","T",18310,10010,45590,"20140088",19,19,19,347650,"T103","I","1146A","","NY","O","420","E 66th St","","0",408,"d1",NA,"Y  Y","1100A","1230A","SILVER",NA,0,"",0,"61 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"794",794,2134942,7056135572,"DCD1733","NY","PAS","10/21/2013",31,"SUBN","BMW","T",34310,13610,10510,"88888888",13,13,13,355418,"T102","B","0340P","","NY","F","33","W 27th St","","0",408,"l3",NA,"YYYYY","0800A","0600A","GREY",NA,0,"",0,"06 -","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
