"","X","Summons.Number","Plate.ID","Registration.State","Plate.Type","Issue.Date","Violation.Code","Vehicle.Body.Type","Vehicle.Make","Issuing.Agency","Street.Code1","Street.Code2","Street.Code3","Vehicle.Expiration.Date","Violation.Location","Violation.Precinct","Issuer.Precinct","Issuer.Code","Issuer.Command","Issuer.Squad","Violation.Time","Time.First.Observed","Violation.County","Violation.In.Front.Of.Or.Opposite","House.Number","Street.Name","Intersecting.Street","Date.First.Observed","Law.Section","Sub.Division","Violation.Legal.Code","Days.Parking.In.Effect","From.Hours.In.Effect","To.Hours.In.Effect","Vehicle.Color","Unregistered.Vehicle.","Vehicle.Year","Meter.Number","Feet.From.Curb","Violation.Post.Code","Violation.Description","No.Standing.or.Stopping.Violation","Hydrant.Violation","Double.Parking.Violation","Latitude","Longitude","Community.Board","Community.Council","Census.Tract","BIN","BBL","NTA"
"679",6986467,7094571460,"608ZKZ","NJ","PAS","04/19/2014",40,"4DSD","HYUND","T",11110,34710,34730,"88888888",18,18,18,341980,"T102","X","0549A","","NY","O","653","11th Ave","","0",408,"e2",NA,"YYYYYYY","","","BLUE",NA,0,"",7,"CC1","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"680",531755,7090659367,"EAU1742","NY","PAS","07/31/2013",38,"SUBN","HYUND","T",35690,9690,9840,"20150724",111,111,111,358640,"T401","R","0533P","","Q","F","42-09","Bell Blvd","","0",408,"h1",NA,"Y","0900A","0700P","BL",NA,2003,"",0,"44 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"681",949708,7099625366,"GGU4751","NY","PAS","09/03/2013",38,"4DSD","VOLKS","T",50990,10890,10790,"20150509",108,108,108,357061,"T401","N","0133P","","Q","F","10-17","Jackson Ave","","0",408,"h1",NA,"Y","0900A","0700P","GY",NA,2010,"",0,"K -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"682",2355555,7506242990,"EDF4390","NY","PAS","10/01/2013",38,"SUBN","LEXUS","T",63030,89730,46630,"20131029",88,88,88,356569,"T301","B","0938A","","K","F","479","Myrtle Ave","","0",408,"h1",NA,"Y","0830A","0700P","GREY",NA,2011,"",0,"08 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"683",4368247,7483931346,"90173JZ","NY","COM","01/14/2014",19,"VAN","GMC","T",33990,60790,57900,"20151031",100,100,100,353104,"T402","R","0407P","","Q","F","204","Beach 116th St","","0",408,"c3",NA,"YYYYYYY","","","WHITE",NA,2003,"",0,"Q -","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"684",3060281,5071394078,"EYA8497","NY","PAS","10/27/2013",7,"4DSD","FORD","V",0,0,0,"0",NA,0,0,0,"","","0354P","","","","","REMSEN AVE.(N/B)@WIN","THROP ST.-LC-2","0",1111,"D",TRUE,"","","","RD",NA,2010,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"685",6458597,1367587360,"ZCF93R","NJ","PAS","04/09/2014",46,"SUBN","CHEVR","P",13980,35230,28830,"0",70,70,0,915843,"O07O","0000","1025A","","K","O","1015","AVE H","","0",408,"D3",NA,"BBBBBBB","ALL","ALL","BLU",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"686",4313757,7114814446,"XK543G","NJ","PAS","01/15/2014",16,"VAN","GMC","T",32940,15350,44890,"88880001",1,1,1,358847,"T105","D","0858A","0818A","NY","F","58","Warren St","","0",408,"k2",NA,"YYYYY","0700A","0600P","RED",NA,0,"",0,"004","16-No Std (Com Veh) Com Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"687",146207,7099019156,"52045JZ","NY","COM","08/19/2013",48,"UTIL","ISUZU","T",7040,0,0,"20131231",108,108,108,358155,"T401","O","0245P","","Q","I","N","23rd St","120ft E/of 44th Dr","0",408,"e9",NA,"","","","WH",NA,2006,"",0,"T -","48-Bike Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"688",5273539,7938303677,"94014JZ","NY","COM","02/23/2014",48,"REFG","ISUZU","T",19690,14310,25890,"20140731",5,5,5,355532,"T101","G","1149A","","NY","F","59","E Broadway","","0",408,"e9",NA,"","","","WH",NA,2008,"",0,"I 10","48-Bike Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"689",4433068,7601978369,"T437284C","NY","OMT","12/27/2013",21,"4DSD","LINCO","T",15990,6590,42490,"20131231",114,114,114,345381,"T401","L","0951A","","Q","O","21-25","76th St","","0",408,"d1",NA,"Y","0930A","1100A","BK",NA,2003,"",0,"I -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"690",172425,7197568122,"GFJ1900","NY","PAS","08/16/2013",74,"SUBN","CHRYS","T",10880,5280,5430,"20150408",68,68,68,354207,"T302","A","1051A","","K","F","318","86th St","","0",408,"j2",NA,"","","","GOLD",NA,2013,"",0,"32 -","74-Missing Display Plate",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"691",5980256,1360689114,"FTR1565","NY","PAS","02/25/2014",21,"SUBN","AUDI","S",77430,55430,58330,"20151113",94,94,0,867970,"KN01","0000","1005A","","K","F","100","SKILLMAN AVE","","0",408,"D1",NA,"BYBBBBB","0930A","1100A","BLACK",0,2004,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"692",2595638,1291897343,"JXC7819","VA","PAS","10/20/2013",20,"SDN","HYUND","P",34700,45050,18510,"0",120,120,449,891148,"0449","0000","1045A","","R","F","61","JERSEY ST","","0",408,"C3",NA,"BBBBBBB","ALL","ALL","GY",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"693",54864,4001502124,"GCK8646","NY","PAS","07/30/2013",5,"SUBN","NISSA","V",0,0,0,"0",NA,0,0,0,"","","0154P","","","","","NB RICHMOND AVE @ PE","RGAMENT MALL DRIVEWA","0",1111,"C",TRUE,"","","","GY",NA,2012,"",0,"","BUS LANE VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"694",2144833,7029514075,"FMC6883","NY","PAS","10/19/2013",21,"SUBN","HONDA","T",6380,10230,10280,"20150424",68,68,68,345534,"T302","Q","0853A","","K","F","7319","13th Ave","","0",408,"d1",NA,"Y","0830A","0900A","GY",NA,2011,"",0,"E -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"695",8221253,1367513054,"GNE1862","NY","PAS","05/21/2014",19,"SDN","FORD","P",67530,54050,73030,"20160314",61,61,61,929395,"0061","0000","0103P","","K","F","2115","OCEAN AVE","","0",408,"C3",NA,"BBBBBBB","ALL","ALL","GY",0,2014,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"696",4928185,1356295484,"GKJ5052","NY","PAS","01/28/2014",98,"SDN","MITSU","P",18940,40404,40404,"20150818",102,102,102,936849,"0102","0000","0300P","","Q","F","","97 AVE 92 ST S/E CO","","0",408,"E5",NA,"BBBBBBB","ALL","ALL","GRAY",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"697",2978284,7993135187,"63548JM","NY","COM","11/21/2013",48,"VAN","GMC","T",15710,0,0,"88888888",20,20,20,357701,"T103","R","0603P","","NY","I","E","Columbus Ave","11ft S/of W 68th St","0",408,"e9",NA,"","","","BROWN",NA,1988,"",0,"53 -","48-Bike Lane",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"698",4274797,7055311068,"VR2222","NY","COM","01/09/2014",31,"VAN","DODGE","T",34530,13610,10610,"20150630",14,14,14,345320,"T106","N","0124P","","NY","O","140","W 38th St","","0",408,"l3",NA,"YYYYY","0600A","0700P","BLACK",NA,2013,"",0,"99 -","31-No Stand (Com. Mtr. Zone)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"699",6868072,1368860059,"FWJ1888","NY","PAS","04/07/2014",40,"SDN","SUBAR","P",0,5480,0,"20160125",76,76,76,948683,"0076","0000","1001P","","K","","","CLINTON","4TH PL","0",408,"F1",NA,"BBBBBBB","ALL","ALL","WH",0,2012,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"700",5765349,7381921856,"NY66","NY","SRF","03/24/2014",70,"SUBN","HONDA","T",29830,56530,75530,"20140320",84,84,84,355301,"T301","C","1157A","","K","O","84","Court St","","0",408,"j3",NA,"YYYYYYY","","","WH",NA,2013,"",0,"03 3","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"701",5696818,7103121941,"GKF2085","NY","PAS","02/28/2014",19,"4DSD","SUBAR","T",29630,35680,67530,"20141007",70,70,70,356530,"T302","C","1205P","","K","O","1902","Cortelyou Rd","","0",408,"c3",NA,"YYYYYYY","","","GY",NA,2011,"",0,"08 3","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"702",4357543,7332353155,"41795JM","NY","COM","01/28/2014",14,"VAN","FRUEH","T",59590,8990,9140,"88888888",109,109,109,353991,"T401","Q","1227P","","Q","F","38-02","Prince St","","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"04 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"703",409753,1345275833,"FLS6046","NY","PAS","08/05/2013",21,"SDN","HONDA","S",44020,38920,76550,"20150511",52,52,0,922464,"BXW4","0000","1218P","","BX","F","2667","KINGSBRIDGE TERR","","0",408,"D1",NA,"YBBBBBB","1130A","0100P","BLUE",0,1999,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"704",3638438,7303153070,"54381JA","NY","COM","12/06/2013",37,"PICK","TOYOT","T",25390,18450,18470,"20151101",19,19,19,355313,"T103","D","1129A","1118A","NY","F","922","Madison Ave","","0",408,"h1",NA,"Y","0900A","0700P","SILVE",NA,2006,"118-4586",0,"15 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"705",1571050,7936680342,"C29792","VA","PAS","09/14/2013",38,"2DSD","FORD","T",27590,16310,29890,"88880088",7,7,7,358584,"T101","F","0541P","","NY","O","122","Orchard St","","0",408,"h1",NA,"Y","0900A","0700P","ORANG",NA,0,"",0,"58 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"706",4654536,7078667086,"FCV7805","NY","PAS","01/19/2014",50,"4DSD","MAZDA","T",0,0,0,"20140629",33,33,33,350433,"T103","AA","0831A","","NY","I","W","Haven Ave","0ft S/of W 170th St","0",408,"e5",NA,"","","","GY",NA,2013,"",0,"CC1","50-Crosswalk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"707",1215517,1355578358,"EAS9788","NY","PAS","09/05/2013",10,"SUBN","JEEP","X",0,40404,40404,"20150719",113,113,642,44694,"0642","0000","1036A","1032A","Q","","","TERM. 5 ARRIVALS RDW","","20130905",408,"C",NA,"BBBBBBB","ALL","ALL","GREY",0,2007,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"708",8611348,1367403674,"FWY3481","NY","PAS","05/20/2014",14,"SUBN","ME/BE","P",54050,51130,14130,"20151206",63,63,63,950680,"0063","0000","0140A","","K","F","4121","KINGS HWY","","0",408,"D",NA,"BBBBBBB","ALL","ALL","WHITE",0,2011,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"709",4033290,7539167075,"27992JY","NY","COM","12/11/2013",78,"VAN","CHEVR","T",20130,24030,92670,"20140331",90,90,90,353177,"T802","A","0337A","","K","F","276","Boerum St","","0",408,"k6",NA,"YYYYYYY","0900P","0500A","BL",NA,2010,"",0,"60 -","78-Nighttime PKG on Res Street",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"710",8801839,7187153971,"ESJ1733","NY","PAS","06/03/2014",21,"SUBN","HONDA","T",9240,0,0,"20150515",108,108,108,355127,"T401","C","1150A","","Q","I","N","39th Rd","65ft E/of Woodside A","0",408,"d1",NA,"Y","1100A","1230A","BK",NA,2008,"",0,"41 4","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"711",6886570,1367862395,"F46DSC","NJ","PAS","04/08/2014",21,"","TOYOT","S",6180,9830,9880,"0",68,68,0,914625,"KS10","0000","0809A","","K","F","6514","11TH AVE","","0",408,"D1",NA,"YYYYYYB","0800A","0830A","TAN",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"712",8597289,8004303432,"M26CDU","NJ","PAS","06/09/2014",20,"SUBN","NS/OT","T",17910,10110,10010,"88888888",17,17,17,358119,"T503","E1","0330P","","NY","O","320","E 46th St","","0",408,"d",NA,"YYYYYYY","","","OTHER",NA,0,"",0,"17 7","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"713",1438741,7505953722,"32891MD","NY","COM","09/07/2013",37,"VAN","FORD","T",18630,66530,66430,"20150831",94,94,94,358153,"T301","A","0209P","0153P","K","F","152","Bedford Ave","","20130907",408,"h1",NA,"Y","0800A","0700P","BL",NA,2013,"328-3001",0,"17 -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"714",5669921,7073012808,"564168","RI","PAS","03/11/2014",20,"4DSD","LINCO","T",8380,26330,6380,"20150588",66,66,66,355255,"T302","H","0406P","","K","F","1272","36th St","","0",408,"d",NA,"YYYYY","0800A","0600P","GREY",NA,0,"",0,"S 32","20A-No Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"715",5080013,7104722269,"GHS7621","NY","PAS","02/18/2014",14,"4DSD","TOYOT","T",67730,64230,67830,"20150912",61,61,61,333042,"T302","M","0928A","","K","O","2940","Ocean Pky","","0",408,"c",NA,"YYYYYYY","","","GREY",NA,2005,"",0,"O 32","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"716",7369348,4002577235,"GGE9565","NY","PAS","03/03/2014",5,"4DSD","TOYOT","V",0,0,0,"0",NA,0,0,0,"","","0837A","","","","","WB FORDHAM RD @ MARI","ON AVE","0",1111,"C",TRUE,"","","","GY",NA,2010,"",0,"","BUS LANE VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"717",2463953,7768857148,"DNN9176","PA","PAS","10/22/2013",37,"4DSD","CHRYS","T",33390,34030,34050,"20140988",6,6,6,345131,"T800","B2","0821P","0751P","NY","F","872","Washington St","","20131022",408,"h1",NA,"YYYYY","0400P","1100P","BLACK",NA,0,"146-3020",0,"C -","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"718",8604353,1367947110,"AF4919","NH","PAS","05/24/2014",20,"BUS","TEMSA","P",0,0,0,"20141131",10,10,401,926560,"0401","0000","0212P","","NY","O","","E/S OF 12TH AVE","10 FEET NORTH OF 40T","0",408,"E1",NA,"BBBBBBB","ALL","ALL","GREY",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"719",6256030,7582752612,"AHV8376","NY","PAS","03/07/2014",21,"4DSD","BMW","T",0,0,0,"20150204",49,49,49,358565,"T202","A","1147A","","BX","I","E","Holland Ave","120ft N/of Waring Av","0",408,"d1",NA,"Y","1130A","0100P","BK",NA,1998,"",0,"11A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"720",4684773,7095358448,"DMV0759","PA","PAS","01/06/2014",40,"SUBN","CHRYS","T",18490,24890,10210,"20140788",19,19,19,354043,"T103","G","1122A","","NY","F","155","E 75th St","","0",408,"e2",NA,"YYYYYYY","","","GREEN",NA,0,"",6,"03 -","40-Fire Hydrant",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"721",4826335,7751147222,"EDU9674","NY","PAS","01/02/2014",70,"4DSD","ACURA","T",30120,61620,76950,"20131018",45,45,45,358910,"T202","F","1229P","","BX","O","1726","Edison Ave","","0",408,"j3",NA,"YYYYYYY","","","SILVE",NA,2002,"",0,"22P","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"722",3054836,5071298119,"FWL5354","NY","PAS","10/21/2013",7,"4DSD","CHEVR","V",0,0,0,"0",NA,0,0,0,"","","0437P","","","","","CLOVE RD.(N/B)@BARD","AVE.-SO-2","0",1111,"D",TRUE,"","","","RD",NA,2011,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"723",7844958,7090964838,"FWG3384","NY","PAS","05/03/2014",21,"4DSD","AUDI","T",19540,19340,19590,"20140612",112,112,112,359307,"T401","E","0844A","","Q","F","101-11","102nd St","","0",408,"d1",NA,"Y","0830A","0900A","BL",NA,2013,"",0,"53-A","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"724",7374791,4600265853,"JFW9272","PA","PAS","05/01/2014",36,"SDN","FORD","V",0,0,0,"0",NA,0,0,0,"","","0908A","","","","","NB WOODHAVEN BLVD @","62ND RD","0",1180,"B",TRUE,"","","","",NA,2003,"",0,"","PHTO SCHOOL ZN SPEED VIOLATION",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"725",2077510,1360598819,"FWP2280","NY","PAS","10/11/2013",21,"P-U","HONDA","S",75330,64530,59410,"20131021",75,75,0,540124,"KN05","0000","1136A","","K","F","665","SCHENCK AV","","0",408,"D1",NA,"BYBBYBB","1130A","0100P","BLACK",0,2006,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"726",778373,7946351410,"AP412J","NJ","PAS","08/23/2013",14,"DELV","FRUEH","T",19890,27590,25090,"20130088",7,7,7,346129,"T101","G","0941A","","NY","F","201","E Houston St","","0",408,"c",NA,"YYYYYYY","","","WHITE",NA,0,"",0,"40 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"727",3899573,1361952246,"ESE1510","NY","PAS","11/27/2013",21,"SDN","CHRYS","S",22680,21780,21880,"20150427",60,60,0,538735,"KS18","0000","0743A","","K","F","316","BRIGHTON BEACH AVE","","0",408,"D1",NA,"YYYYYYB","0730A","0800A","SILVE",0,0,"-",0,"","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"728",548391,7093627973,"ESK6980","NY","PAS","08/14/2013",38,"SUBN","NISSA","T",0,40404,40404,"20150715",48,48,48,356217,"T201","H","0308P","","BX","I","","BELMONT LOT","","0",408,"h1",NA,"Y","0800A","1000P","BK",NA,2012,"",0,"58 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"729",8978724,7754219270,"FAH7992","NY","PAS","06/16/2014",70,"SUBN","FORD","T",8580,6280,6380,"20140615",66,66,66,358666,"T302","I","1227P","","K","O","1260","40th St","","0",408,"j3",NA,"YYYYYYY","","","BLACK",NA,2007,"",0,"24 3","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"730",1819711,7441090349,"GHV9806","NY","PAS","10/25/2013",17,"2DSD","MINI","T",34970,15710,11710,"20150820",20,20,20,356259,"T103","S","0828P","","NY","F","120","W 60th St","","0",408,"c4",NA,"YYYYYYY","","","BL",NA,2013,"",0,"C -","17-No Stand (exc auth veh)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"731",6573866,7176707327,"GEH1935","NY","PAS","04/16/2014",38,"SUBN","FORD","T",8320,22920,40320,"20150225",49,49,49,357732,"T202","A","1154A","","BX","F","748","Allerton Ave","","0",408,"h1",NA,"Y","0800A","0700P","RD",NA,2013,"",0,"11A","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"732",5431615,7317502145,"EKF8754","NY","PAS","02/20/2014",38,"4DSD","CHEVR","T",36420,27150,32520,"20140909",46,46,46,355297,"T201","E","0113P","","BX","F","2306A","Grand Concourse","","0",408,"h1",NA,"Y","0800A","0700P","TN",NA,2005,"",0,"14 2","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"733",1330104,7094841980,"FFP9587","NY","PAS","09/04/2013",38,"SUBN","TOYOT","T",14880,35430,35480,"20150109",61,61,61,358899,"T302","F","0101P","","K","F","1407","Avenue Z","","0",408,"h1",NA,"Y","0900A","0700P","GR",NA,2009,"",0,"15 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"734",8071194,7757899760,"62901JM","NY","COM","05/27/2014",14,"DELV","INTER","T",24090,18040,18140,"88888888",103,103,103,358850,"T402","B","0250P","","Q","O","89-20","161st St","","0",408,"c",NA,"YYYYY","0800A","0400P","BROWN",NA,1993,"",0,"04 4","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"735",6071966,7061364841,"DEG8289","NY","PAS","03/20/2014",37,"4DSD","HONDA","T",34150,10810,10910,"20150325",10,10,10,359628,"T102","K","0440P","0327P","NY","O","364","W 19th St","","0",408,"h1",NA,"Y","0900A","0700P","BK",NA,2003,"135-7125",0,"11 6","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"736",3814555,7905599413,"OL4067G","NJ","PAS","12/11/2013",16,"4DSD","ME/BE","T",10810,34290,34310,"88888888",10,10,10,358881,"T102","G","1234P","","NY","F","327","8th Ave","","0",408,"k2",NA,"YYYYY","0700A","0700P","BLACK",NA,0,"",0,"11 -","16A-No Std (Com Veh) Non-COM",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"737",156027,7179539247,"GGT1464","NY","PAS","08/16/2013",46,"PICK","TOYOT","T",77150,28530,28560,"20150530",47,47,47,357696,"T202","F","0520P","","BX","F","4124","White Plains Rd","","0",408,"f1",NA,"","","","RD",NA,2013,"",0,"18A","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"738",1943861,7837980049,"Z47DGK","NJ","PAS","10/07/2013",14,"2DSD","LEXUS","T",34710,10410,10510,"88888888",18,18,18,355130,"T106","B","1131A","","NY","O","2","W 47th St","","0",408,"c",NA,"YYYYYYY","","","SILVE",NA,0,"",0,"99 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"739",9059409,7974318648,"D57BLD","NJ","PAS","06/24/2014",21,"SUBN","HYUND","T",35850,13610,44990,"88888888",24,24,24,358597,"T103","J","1033A","","NY","F","242","W 104th St","","0",408,"d1",NA,"Y  Y","0930A","1100A","RED",NA,0,"",0,"39 7","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"740",154662,7180959236,"98716MA","NY","COM","08/26/2013",42,"VAN","GMC","T",34690,10410,10510,"20140430",14,14,14,346409,"T106","A","0857A","","NY","O","59","W 46th St","","0",408,"h1",NA,"YYYYY","0700A","0600P","WHITE",NA,1991,"143-5168",0,"57 -","42-Exp. Muni-Mtr (Com. Mtr. Z)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"741",2103372,5070635074,"CRN1396","NY","PAS","09/12/2013",7,"","LEXUS","V",0,0,0,"0",NA,0,0,0,"","","0539P","","","","","HMLTN AVE. (N)@CLINT","ON STREET-K3-4","0",1111,"D",TRUE,"","","","GY",NA,2002,"",0,"","FAILURE TO STOP AT RED LIGHT",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"742",6113094,7091194688,"ETX8968","NY","PAS","03/05/2014",71,"SUBN","ACURA","T",7790,7040,7300,"20150811",114,114,114,354007,"T401","B","1042A","","Q","F","23-32","30th Ave","","0",408,"j6",NA,"YYYYYYY","","","GY",NA,2005,"",0,"25 4","71A-Insp Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"743",6949925,7072204647,"13660MD","NY","COM","04/09/2014",69,"DELV","KENWO","T",27800,17550,17570,"20150331",13,13,13,355675,"T102","C","0827A","","NY","O","419","Park Ave South","","0",408,"h1",NA,"YYYYY","0700A","0700P","RD",NA,2013,"",0,"06 6","69-Failure to Disp Muni Recpt",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"744",4002284,7210382148,"EWV2091","NY","PAS","12/12/2013",70,"4DSD","NISSA","T",8880,6080,42630,"20131202",66,66,66,357080,"T302","I","0107P","","K","F","1037","46th St","","0",408,"j3",NA,"YYYYYYY","","","GY",NA,1999,"",0,"01 -","70A-Reg. Sticker Expired (NYS)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"745",6094607,7090676663,"DXK5703","NY","PAS","03/04/2014",37,"SUBN","HONDA","T",6740,9990,10140,"20150123",110,110,110,356329,"T401","O","0510P","0416P","Q","F","44-73","21st St","","0",408,"h1",NA,"Y","0900A","0700P","BLUE",NA,2013,"415-2061",0,"W 41","37-Expired Muni Meter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"746",8090740,7845137480,"AN548J","NJ","PAS","05/24/2014",84,"DELV","INTER","T",17630,0,0,"88888888",14,14,14,356525,"T102","J","0721A","","NY","I","S","E 32nd St","20ft W/of Madison Av","0",408,"k7",NA,"","","","WHITE",NA,0,"",0,"04 6","84-Platform lifts in low posit",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"747",3849415,7951957756,"GGT8905","NY","PAS","12/11/2013",14,"SUBN","PORSC","T",28790,13113,22690,"20150512",5,5,5,355546,"T101","N","0210P","","NY","O","17","Pike St","","0",408,"c",NA,"YYYYYYY","","","DKB",NA,2013,"",0,"66 -","14-No Standing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"748",4286426,7076640235,"JHG3508","PA","PAS","12/27/2013",21,"SUBN","FORD","T",82430,57230,38130,"20130088",67,67,67,357764,"T302","E","1220P","","K","F","2331","Strauss St","","0",408,"d1",NA,"Y  Y","1130A","0100P","GREY",NA,0,"",0,"28 -","21-No Parking (street clean)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"749",2776747,7310141398,"GJJ4337","NY","PAS","11/07/2013",19,"SUBN","CHRYS","T",6380,0,0,"20150717",66,66,66,357743,"T302","I","0457P","","K","I","W","13th Ave","100ft S/of 39th St","0",408,"c3",NA,"YYYYYYY","","","BLACK",NA,2013,"",0,"01 -","19-No Stand (bus stop)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"750",7119763,7629425296,"EWL3558","NY","PAS","04/24/2014",46,"SUBN","GMC","T",21520,26400,26430,"20151202",40,40,40,352973,"T201","I","1030A","","BX","F","802","Courtlandt Ave","","0",408,"f1",NA,"","","","RD",NA,1995,"",0,"50 2","46A-Double Parking (Non-COM)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"751",1433034,7486322857,"19760JT","NY","COM","09/16/2013",38,"DELV","FRUEH","T",51090,16590,16590,"88888888",102,102,102,358646,"T402","D","0116P","","Q","F","80-01","Jamaica Ave","","0",408,"h1",NA,"Y","0830A","0700P","BROWN",NA,2005,"",0,"17 -","38-Failure to Display Muni Rec",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
